2019-06-30 19:55:02,393,2019-06-30_17_55_02,INFO,<class 'problems.network.Network'>,320631712,algorithms.genetic_algorithm,20,tournament_selection,one_point_crossover,0.4,bit_flip,0.6
2019-06-30 19:58:18,620,2019-06-30_17_55_02,INFO,18,1123.230762114381,516067481.0868541,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 4107 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243 491
 5245 4923 3211]
2019-06-30 19:58:25,350,2019-06-30_17_55_02,INFO,19,1123.230762114381,298771933.11012983,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 4107 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243 491
 5245 4923 3211]
2019-06-30 19:58:34,958,2019-06-30_17_55_02,INFO,20,1101.176715408271,556251211.5903075,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
2019-06-30 19:58:44,595,2019-06-30_17_55_02,INFO,21,1101.176715408271,461854472.12694705,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
2019-06-30 19:59:00,149,2019-06-30_17_55_02,INFO,22,1101.176715408271,600326342.3982832,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
2019-06-30 19:59:07,841,2019-06-30_17_55_02,INFO,23,1101.176715408271,390960375.2225733,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
2019-06-30 19:59:24,204,2019-06-30_17_55_02,INFO,24,1101.176715408271,605708591.0875552,[648 1949 1953 1954 314 4458 1960 50 315 297 4282 311 1962 1963 4225 481
 482 4110 1495 1475 484 485 12 4065 4532 13 4064 322 3241 16 4514 17 5243
 491 5245 4923 3211]
